省份,省份编码,gdp,人均GDP,人口,人均收入,房价/收入
北京,11,13,2,26,2,14.5
天津,12,17,1,27,6,8.4
河北,13,6,17,6,22,6.7
山西,14,24,23,19,23,6.1
内蒙,15,15,6,23,10,5
辽宁,21,7,7,14,9,6.3
吉林,22,22,11,21,25,6.2
黑龙江,23,20,18,16,26,7.4
上海,31,12,3,25,1,12.1
江苏,32,2,4,5,4,6.7
浙江,33,4,5,11,3,9.5
安徽,34,14,26,8,14,6.8
福建,35,11,9,18,7,9.1
江西,36,18,25,13,20,7.3
山东,37,3,10,2,8,5.5
河南,41,5,22,1,17,5.6
湖北,42,9,12,9,13,6.9
湖南,43,10,16,7,11,5.5
广东,44,1,8,4,5,8.4
广西,45,19,27,10,15,5.9
海南,46,28,20,28,16,12.3
重庆,50,21,13,20,12,6.8
四川,51,8,24,3,18,7.4
贵州,52,26,29,15,27,5.9
云南,53,23,30,12,21,5.9
西藏,54,31,28,31,30,5.9
陕西,61,16,14,17,19,7.1
甘肃,62,27,31,22,31,6.4
青海,63,30,21,30,28,6.6
宁夏,64,29,15,29,24,5.9
新疆,65,25,19,24,29,6.5
